date,day_of_stock,other
2022-01-01,-1,
2022-01-02,-1,
2022-01-03,1,
2022-01-04,2,
2022-01-05,3,
2022-01-06,4,
2022-01-07,5,
2022-01-08,-1,
2022-01-09,-1,
2022-01-10,6,
2022-01-11,7,
2022-01-12,8,
2022-01-13,9,
2022-01-14,10,
2022-01-15,-1,
2022-01-16,-1,
2022-01-17,11,
2022-01-18,12,
2022-01-19,13,
2022-01-20,14,
2022-01-21,15,
2022-01-22,-1,
2022-01-23,-1,
2022-01-24,16,
2022-01-25,17,
2022-01-26,18,
2022-01-27,19,
2022-01-28,20,
2022-01-29,-1,
2022-01-30,-1,
2022-01-31,-1,農曆春節除夕
2022-02-01,-1,農曆春節
2022-02-02,-1,農曆春節
2022-02-03,-1,農曆春節
2022-02-04,-1,農曆春節補假(0122補上班但交易所不交易)
2022-02-05,-1,
2022-02-06,-1,
2022-02-07,21,
2022-02-08,22,
2022-02-09,23,
2022-02-10,24,
2022-02-11,25,
2022-02-12,-1,
2022-02-13,-1,
2022-02-14,26,
2022-02-15,27,
2022-02-16,28,
2022-02-17,29,
2022-02-18,30,
2022-02-19,-1,
2022-02-20,-1,
2022-02-21,31,
2022-02-22,32,
2022-02-23,33,
2022-02-24,34,
2022-02-25,35,
2022-02-26,-1,
2022-02-27,-1,
2022-02-28,-1,和平紀念日
2022-03-01,36,
2022-03-02,37,
2022-03-03,38,
2022-03-04,39,
2022-03-05,-1,
2022-03-06,-1,
2022-03-07,40,
2022-03-08,41,
2022-03-09,42,
2022-03-10,43,
2022-03-11,44,
2022-03-12,-1,
2022-03-13,-1,
2022-03-14,45,
2022-03-15,46,
2022-03-16,47,
2022-03-17,48,
2022-03-18,49,
2022-03-19,-1,
2022-03-20,-1,
2022-03-21,50,
2022-03-22,51,
2022-03-23,52,
2022-03-24,53,
2022-03-25,54,
2022-03-26,-1,
2022-03-27,-1,
2022-03-28,55,
2022-03-29,56,
2022-03-30,57,
2022-03-31,58,
2022-04-01,59,
2022-04-02,-1,
2022-04-03,-1,
2022-04-04,-1,兒童節
2022-04-05,-1,民族掃墓節
2022-04-06,60,
2022-04-07,61,
2022-04-08,62,
2022-04-09,-1,
2022-04-10,-1,
2022-04-11,63,
2022-04-12,64,
2022-04-13,65,
2022-04-14,66,
2022-04-15,67,
2022-04-16,-1,
2022-04-17,-1,
2022-04-18,68,
2022-04-19,69,
2022-04-20,70,
2022-04-21,71,
2022-04-22,72,
2022-04-23,-1,
2022-04-24,-1,
2022-04-25,73,
2022-04-26,74,
2022-04-27,75,
2022-04-28,76,
2022-04-29,77,
2022-04-30,-1,
2022-05-01,-1,
2022-05-02,-1,勞動節補假(0501適逢星期日)
2022-05-03,78,
2022-05-04,79,
